id,submitted_on,grade,compiles,flake8,flake8_runtime
66bf9db2163decb65c9910b2,2024-08-16 20:42:58.137,100.0,True,False,1.7062418460845947
665a4fa6ac2f50fd0ed08e20,2024-06-01 00:31:02.284,100.0,True,False,0.5172746181488037
65a832b30bcda0a757820450,2024-01-17 21:04:03.852,100.0,True,False,0.4966742992401123
65a832916e50a56ff13ad204,2024-01-17 21:03:29.379,0.0,False,False,0.0
65a8323079cb5dd48e356429,2024-01-17 21:01:52.959,0.0,False,False,0.0
665dbda026943bbfc419b49b,2024-06-03 14:57:04.921,100.0,True,False,0.5192487239837646
65a59f198ba6947cb336c359,2024-01-15 22:09:45.502,100.0,True,False,0.5236794948577881
65a59f0e79cb5dd48e34faf7,2024-01-15 22:09:34.814,0.0,True,False,0.5132715702056885
64de6d08890e8db52cb31f60,2023-08-17 20:55:04.097,100.0,True,False,0.4993155002593994
64de6cf55e43bbb48c0e1d3d,2023-08-17 20:54:45.683,0.0,True,False,0.826615571975708
6377ca3280607efdfdbcb80f,2022-11-18 19:08:50.529,100.0,True,False,0.6916344165802002
637ca294e46f28bb708fdaf9,2022-11-22 11:21:08.017,100.0,True,False,0.6563420295715332
659eae0b0bcda0a75780ae6e,2024-01-10 15:47:39.738,0.0,True,False,0.7194855213165283
6552ae39f7a41d353885d47d,2023-11-14 00:16:09.584,100.0,True,False,0.7318572998046875
65522085c5d90a7d276abd71,2023-11-13 14:11:33.486,100.0,True,False,0.6754262447357178
65522046d93140def44f48e7,2023-11-13 14:10:30.237,0.0,False,False,0.0
6552203fd93140def44f48e2,2023-11-13 14:10:23.783,0.0,False,False,0.0
6552201fbf4a29e5c32bf026,2023-11-13 14:09:51.356,0.0,False,False,0.0
6552200dbf4a29e5c32bf01e,2023-11-13 14:09:33.241,0.0,False,False,0.0
65521ff6c5d90a7d276abd64,2023-11-13 14:09:10.921,0.0,True,False,0.7712271213531494
65521feff7a41d353885cc63,2023-11-13 14:09:03.328,0.0,False,False,0.0
